Experiment Results:
Epoch 393: Train Loss = 0.2421, Val Acc = 0.7739
Epoch 394: Train Loss = 0.2142, Val Acc = 0.7565
Epoch 395: Train Loss = 0.2402, Val Acc = 0.6870
Epoch 396: Train Loss = 0.2179, Val Acc = 0.7478
Epoch 397: Train Loss = 0.2272, Val Acc = 0.7652
Epoch 398: Train Loss = 0.2365, Val Acc = 0.7304
Epoch 399: Train Loss = 0.2533, Val Acc = 0.6783
Epoch 400: Train Loss = 0.2588, Val Acc = 0.6609
Epoch 401: Train Loss = 0.2626, Val Acc = 0.6522
Epoch 402: Train Loss = 0.2533, Val Acc = 0.7913
Epoch 403: Train Loss = 0.2235, Val Acc = 0.7565
Epoch 404: Train Loss = 0.2253, Val Acc = 0.7652
Epoch 405: Train Loss = 0.2495, Val Acc = 0.7826
Epoch 406: Train Loss = 0.2328, Val Acc = 0.7043
Epoch 407: Train Loss = 0.2384, Val Acc = 0.6870
Epoch 408: Train Loss = 0.2328, Val Acc = 0.7217
Epoch 409: Train Loss = 0.2384, Val Acc = 0.7043
Epoch 410: Train Loss = 0.2421, Val Acc = 0.6783
Epoch 411: Train Loss = 0.2365, Val Acc = 0.6783
Epoch 412: Train Loss = 0.2346, Val Acc = 0.7565
Epoch 413: Train Loss = 0.2216, Val Acc = 0.6957
Epoch 414: Train Loss = 0.2663, Val Acc = 0.6435
Epoch 415: Train Loss = 0.2179, Val Acc = 0.7565
Epoch 416: Train Loss = 0.2458, Val Acc = 0.6435
Epoch 417: Train Loss = 0.2309, Val Acc = 0.7043
Epoch 418: Train Loss = 0.3110, Val Acc = 0.6174
Epoch 419: Train Loss = 0.2272, Val Acc = 0.7652
Epoch 420: Train Loss = 0.2291, Val Acc = 0.7739
Epoch 421: Train Loss = 0.2272, Val Acc = 0.7217
Epoch 422: Train Loss = 0.2179, Val Acc = 0.7478
Epoch 423: Train Loss = 0.2365, Val Acc = 0.7565
Epoch 424: Train Loss = 0.2346, Val Acc = 0.7130
Epoch 425: Train Loss = 0.2384, Val Acc = 0.7130
Epoch 426: Train Loss = 0.2570, Val Acc = 0.7565
Epoch 427: Train Loss = 0.2328, Val Acc = 0.7739
Epoch 428: Train Loss = 0.2309, Val Acc = 0.7826
Epoch 429: Train Loss = 0.2197, Val Acc = 0.7565
Epoch 430: Train Loss = 0.2160, Val Acc = 0.7478
Epoch 431: Train Loss = 0.2160, Val Acc = 0.7565
Epoch 432: Train Loss = 0.2197, Val Acc = 0.7565
Epoch 433: Train Loss = 0.3594, Val Acc = 0.5826
Epoch 434: Train Loss = 0.3371, Val Acc = 0.6087
Epoch 435: Train Loss = 0.2384, Val Acc = 0.7739
Epoch 436: Train Loss = 0.2719, Val Acc = 0.6348
Epoch 437: Train Loss = 0.3035, Val Acc = 0.6087
Epoch 438: Train Loss = 0.2365, Val Acc = 0.7739
Epoch 439: Train Loss = 0.2421, Val Acc = 0.7826
Epoch 440: Train Loss = 0.2253, Val Acc = 0.7826
Epoch 441: Train Loss = 0.2272, Val Acc = 0.7043
Epoch 442: Train Loss = 0.2402, Val Acc = 0.7478
Epoch 443: Train Loss = 0.2272, Val Acc = 0.7739
Epoch 444: Train Loss = 0.2719, Val Acc = 0.6261
Epoch 445: Train Loss = 0.2197, Val Acc = 0.7304
Epoch 446: Train Loss = 0.4078, Val Acc = 0.5826
Epoch 447: Train Loss = 0.2998, Val Acc = 0.6087
Epoch 448: Train Loss = 0.2607, Val Acc = 0.6348
Epoch 449: Train Loss = 0.3091, Val Acc = 0.6087
Epoch 450: Train Loss = 0.4935, Val Acc = 0.4435
